BHK,Price,Location,Area,Furnishing,Tenant_Pref,Full_Title,Page_Found
3 BHK,"₹32,000 /month",Amrapali Dream Valley Villas,"1,690 sqft(157 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Greater Noida West, Greater Noida",2
3 BHK,"₹27,000 /month",Coco County,"1,152 sqft(107 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",2
2 BHK,"₹19,000 /month",Gaur City 6th Avenue,"1,175 sqft(109 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",3
4 BHK,"₹25,000 /month",Rudra KBNOWS Apartments,"1,960 sqft(182 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector 16, Greater Noida",3
2 BHK,"₹25,000 /month",Earthcon Casagrand,"1,025 sqft(95 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector Chi 5, Greater Noida",3
2 BHK,"₹23,500 /month",ACE Divino,"1,050 sqft(98 sqm)",Semi-Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,3
3 BHK,"₹37,000 /month",ACE Divino,"1,565 sqft(145 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,3
2 BHK,"₹22,000 /month",Capital Athena,"1,075 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,3
N/A,"₹30,001 /month",Amrapali Leisure Valley,"1,825 sqft(170 sqm)",Semi-Furnished,Not Specified,3 Bedroom House for rent in Sector 1 Greater Noida West,3
3 BHK,"₹24,800 /month",Amaatra Homes,"1,591 sqft(148 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",3
3 BHK,"₹32,000 /month",Nirala Estate Phase 2,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
N/A,"₹33,000 /month",Panchsheel Greens 2,"2,450 sqft(228 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Sector 16, Greater Noida",3
3 BHK,"₹35,000 /month",Ats Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,3
3 BHK,"₹29,000 /month",Nirala Estate Phase 2,"1,225 sqft(114 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
3 BHK,"₹39,000 /month",ATS Nobility,"1,675 sqft(156 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector-4 Greater Noida West, Greater Noida",3
2 BHK,"₹17,000 /month",Ajnara Le Garden,995 sqft(92 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",3
3 BHK,"₹26,000 /month",Nirala Estate Phase 2,"1,250 sqft(116 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
3 BHK,"₹29,000 /month",Nirala Estate Phase 2,"1,250 sqft(116 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
2 BHK,"₹20,000 /month",La Residentia,"1,010 sqft(94 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
2 BHK,"₹19,000 /month",Habitech Panchtatva,940 sqft(87 sqm),N/A,Not Specified,"2 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
2 BHK,"₹23,400 /month",ACE Divino,"1,050 sqft(98 sqm)",Semi-Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,3
3 BHK,"₹23,000 /month",nirala aspire sector 16B Greater Noida west,"1,460 sqft(136 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",3
4 BHK,"₹25,000 /month",Supertech Ecovillage 1,"2,364 sqft(220 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,3
3 BHK,"₹24,000 /month",Apex Splendour,"1,619 sqft(150 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",3
3 BHK,"₹35,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,3
4 BHK,"₹40,000 /month",Eldeco Green Meadows,"1,850 sqft(172 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector Pi, Greater Noida",3
3 BHK,"₹45,000 /month",Eldeco Green Meadows,"1,785 sqft(166 sqm)",Fully Furnished,Not Specified,"3 BHK Flat for rent in Sector Pi, Greater Noida",3
3 BHK,"₹18,600 /month",Amrapali Golf Homes,"1,095 sqft(102 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
4 BHK,"₹55,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,4
3 BHK,"₹29,000 /month",HomeKraft Happy Trails,"1,385 sqft(129 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 10 Greater Noida West, Greater Noida",4
3 BHK,"₹36,998 /month",Gaur Saundaryam,"2,005 sqft(186 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",4
3 BHK,"₹21,000 /month",Galaxy North Avenue,"1,410 sqft(131 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
4 BHK,"₹20,000 /month",SDS NRI Residency,"1,659 sqft(154 sqm)",N/A,Not Specified,"4 BHK Flat for rent in NRI City, Greater Noida",4
3 BHK,"₹20,500 /month",Gaur City 1st Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
3 BHK,"₹23,000 /month",Gaur City 1st Avenue,"1,560 sqft(145 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
2 BHK,"₹27,000 /month",BSF CHS,"1,150 sqft(107 sqm)",Furnished,Not Specified,"2 BHK Flat for rent in Sector Pi, Greater Noida",4
3 BHK,"₹47,000 /month",Purvanchal Royal City,"2,075 sqft(193 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",4
2 BHK,"₹19,500 /month",Supertech Eco Village 1,"1,106 sqft(103 sqm)",N/A,Not Specified,"2 BHK Flat for rent in Greater Noida West, Greater Noida",4
3 BHK,"₹27,000 /month",Galaxy Vega,"1,340 sqft(124 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,4
3 BHK,"₹35,000 /month",Gulshan Bellina,"1,495 sqft(139 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",4
3 BHK,"₹27,000 /month",Supertech Ecovillage 1,"1,718 sqft(160 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,4
3 BHK,"₹25,000 /month",Supertech Ecovillage 1,"1,718 sqft(160 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,4
2 BHK,"₹28,000 /month",Ace City,"1,080 sqft(100 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,4
3 BHK,"₹38,000 /month",Purvanchal Royal City,"1,825 sqft(170 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",4
3 BHK,"₹27,000 /month",Panchsheel Greens 2,"1,510 sqft(140 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 16, Greater Noida",4
3 BHK,"₹38,000 /month",Purvanchal Royal City,"1,735 sqft(161 sqm)",Furnished,Not Specified,"3 BHK Flat for rent in Sector Chi 5, Greater Noida",4
2 BHK,"₹24,000 /month",Ace City,"1,325 sqft(123 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,4
2 BHK,"₹19,500 /month",Saya Zion,"1,045 sqft(97 sqm)",Semi-Furnished,Not Specified,"2 BHK Flat for rent in Sector 4, Greater Noida West",4
3 BHK,"₹22,000 /month",Amrapali Golf Homes,"1,595 sqft(148 sqm)",Semi-Furnished,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
N/A,"₹35,000 /month",Paramount Golfmart,"1,742 sqft(162 sqm)",Fully Furnished,Not Specified,"3 Bedroom House for rent in Sector ZETA 1, Greater Noida",4
3 BHK,"₹20,000 /month",Amrapali Golf Homes,"1,380 sqft(128 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",4
3 BHK,"₹32,000 /month",Fusion Homes Techzone 4 Greater Noida West,"1,980 sqft(184 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",4
3 BHK,"₹22,000 /month",Gaur City 6th Avenue,"1,470 sqft(137 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 4, Greater Noida West",5
2 BHK,"₹17,000 /month",Supertech Ecovillage 2,890 sqft(83 sqm),N/A,Not Specified,"2 BHK Flat for rent in Sector 16B, Greater Noida",5
4 BHK,"₹50,000 /month",ATS Dolce,"2,800 sqft(260 sqm)",N/A,Not Specified,"4 BHK Flat for rent in Sector ZETA 1, Greater Noida",5
3 BHK,"₹17,000 /month",Ajnara Le Garden,"1,245 sqft(116 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 16B, Greater Noida",5
4 BHK,"₹42,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
N/A,"₹40,001 /month",Amrapali Leisure Valley,"2,525 sqft(235 sqm)",Semi-Furnished,Not Specified,4 Bedroom House for rent in Sector 1 Greater Noida West,5
3 BHK,"₹22,500 /month",Exotica Dreamville,"1,340 sqft(124 sqm)",N/A,Not Specified,3 BHK Flat for rent in Noida Extension,5
3 BHK,"₹35,000 /month",CRC Sublimis,"1,485 sqft(138 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
2 BHK,"₹28,000 /month",CRC Sublimis,"1,170 sqft(109 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹48,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹47,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹22,500 /month",Supertech Ecovillage 1,"1,545 sqft(144 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹40,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹43,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹44,000 /month",CRC Sublimis,"2,177 sqft(202 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹35,000 /month",CRC Sublimis,"1,485 sqft(138 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹35,000 /month",CRC Sublimis,"1,485 sqft(138 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
2 BHK,"₹30,000 /month",Ace City,"1,080 sqft(100 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,5
2 BHK,"₹23,000 /month",Ace City,"1,080 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹45,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹45,500 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
4 BHK,"₹45,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹40,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
2 BHK,"₹23,000 /month",Capital Athena,"1,075 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹36,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,5
3 BHK,"₹35,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,6
3 BHK,"₹45,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,6
4 BHK,"₹50,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,6
4 BHK,"₹50,000 /month",ATS Rhapsody,"2,400 sqft(223 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,6
4 BHK,"₹55,000 /month",Irish Pearls,"1,990 sqft(185 sqm)",N/A,Not Specified,4 BHK Flat for rent in Sector 1 Greater Noida West,6
2 BHK,"₹22,700 /month",Ace City,"1,080 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,6
2 BHK,"₹21,500 /month",Ace City,"1,080 sqft(100 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,6
2 BHK,"₹18,500 /month",Exotica Dreamville,920 sqft(85 sqm),N/A,Not Specified,2 BHK Flat for rent in Noida Extension,6
2 BHK,"₹27,000 /month",Ace City,"1,325 sqft(123 sqm)",Furnished,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,6
3 BHK,"₹36,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,6
N/A,"₹45,000 /month","Amrapali Dream Valley, Greater Noida","2,450 sqft(228 sqm)",N/A,Not Specified,"4 Bedroom House for rent in Amrapali Dream Valley, Greater Noida",6
2 BHK,"₹24,000 /month",Ace City,"1,325 sqft(123 sqm)",N/A,Not Specified,2 BHK Flat for rent in Sector 1 Greater Noida West,6
3 BHK,"₹24,000 /month",Eros Sampoornam,"1,425 sqft(132 sqm)",N/A,Not Specified,"3 BHK Flat for rent in Sector 2, Greater Noida West",6
3 BHK,"₹35,000 /month",ATS Rhapsody,"1,800 sqft(167 sqm)",N/A,Not Specified,3 BHK Flat for rent in Sector 1 Greater Noida West,6
3 BHK,"₹23,000 /month",ABA Cherry County,"1,206 sqft(112 sqm)",Semi-Furnished,Family Preferred,"3 BHK Flat for rent in Techzone 4 Greater Noida West, Greater Noida",6
